Policy_ID,Age,Gender,Location,Insurance_Type,Coverage_Amount,Premium,Deductible,Risk_Factor,Claims_Count,Total_Claim_Cost,Claim_Reason,Customer_Feedback_Score,Policy_Start_Date,Last_Claim_Date
96,32,Male,Urban,Automotive,130744.83,1984.66,121.64,0.56,0,0,Other,2,2012-07-18 10:02:30,2021-05-11 03:16:34
97,33,Male,Suburban,Life,486548.54,1836.13,263.45,0.34,1,5993.19,Accident,4,2021-02-08 19:49:48,2016-06-17 02:07:24
98,38,Female,Urban,Home,332072.01,1077.58,390.43,0.61,0,0,Accident,1,2012-12-20 14:30:42,2010-02-01 11:24:32
99,53,Male,Urban,Home,164287.35,814.78,366.4,0.47,2,1138.29,Other,6,2013-03-29 04:22:28,2015-08-27 22:54:16
100,41,Female,Rural,Home,454886.03,1056.54,897.71,0.28,2,3991.9,Natural Disaster,4,2011-09-01 20:34:45,2010-12-19 04:36:39
101,33,Female,Suburban,Home,207301,1251.52,815.51,0.09,0,0,Other,3,2013-10-15 17:15:36,2017-12-01 17:20:44
102,31,Non-Binary,Urban,Home,119625.49,748.78,273.58,0.44,0,0,Accident,1,2017-11-13 18:56:52,2011-05-14 03:20:12
103,39,Non-Binary,Rural,Home,491144.92,1526.87,914.82,0.71,0,0,Natural Disaster,5,2020-09-18 06:37:54,2019-05-07 23:44:20
104,66,Male,Urban,Automotive,102132.2,340.93,593.33,0.36,2,25874.8,Natural Disaster,9,2021-06-19 20:58:50,2014-02-10 23:33:50
105,67,Non-Binary,Suburban,Life,307848.09,1902.43,372.94,0.36,3,39010.69,Accident,5,2016-07-10 02:50:15,2018-04-10 00:43:41
106,23,Female,Suburban,Automotive,387533.57,1534.21,217.13,0.27,0,0,Theft,5,2012-06-12 02:20:13,2010-01-14 03:48:43
107,59,Male,Rural,Home,469126.67,1784.2,947.54,0.46,0,0,Natural Disaster,2,2017-08-24 11:34:18,2015-08-14 17:27:55
108,53,Male,Rural,Home,99513.95,875.52,159.24,0.09,0,0,Theft,5,2019-05-31 21:32:56,2015-08-09 21:42:03
109,18,Male,Rural,Home,287512.35,1884.38,335.61,0.61,0,0,Accident,9,2019-11-19 07:17:02,2020-10-25 01:12:16
110,49,Male,Rural,Automotive,109632.8,1983.21,854.94,0.27,1,399.43,Other,3,2018-04-11 20:54:49,2016-08-02 20:04:28
111,23,Non-Binary,Rural,Home,397421.31,605.06,351.1,0.04,1,14079.63,Accident,5,2021-06-30 14:20:00,2014-04-12 17:58:57
112,48,Male,Suburban,Automotive,141931.58,1276.42,532.76,0.2,2,26056.92,Other,2,2018-08-07 06:51:47,2017-01-25 22:43:10
113,18,Female,Rural,Life,152017.37,1773.52,805.86,0.44,1,6044.5,Theft,4,2016-08-09 08:40:52,2016-03-19 06:06:01
114,67,Male,Rural,Automotive,499299.82,382.73,631.9,0.03,2,17054.32,Other,1,2021-04-03 04:50:38,2017-07-22 11:29:30
115,68,Non-Binary,Rural,Automotive,430335.7,1618.9,741.92,0.17,0,0,Theft,10,2014-04-21 14:51:06,2015-02-17 22:29:34
116,54,Female,Rural,Life,342742.09,359.42,380.93,0.33,0,0,Other,3,2011-07-26 23:44:42,2014-08-29 22:16:41
117,52,Non-Binary,Suburban,Home,338233.02,1413.02,278.64,0.07,4,37961.97,Theft,7,2011-10-12 05:29:23,2021-06-11 10:54:58
118,66,Non-Binary,Suburban,Automotive,319129.75,462.7,643.12,0.07,2,2124,Accident,9,2020-12-29 01:55:30,2012-10-17 00:48:49
119,47,Non-Binary,Urban,Life,478447.59,470.74,250.47,0.14,1,6092.75,Theft,6,2015-05-11 22:18:04,2021-04-17 22:50:28
120,21,Non-Binary,Rural,Automotive,436437.46,788.8,585.08,0.62,0,0,Theft,6,2015-06-05 08:35:51,2010-04-03 17:09:56
121,52,Male,Rural,Automotive,324824.88,935.24,858.02,0.15,0,0,Accident,2,2021-07-27 03:39:32,2011-09-15 02:24:50
122,60,Non-Binary,Suburban,Life,111483.03,1160.38,640.73,0.23,2,3684.34,Accident,6,2020-11-17 03:58:11,2019-09-24 03:46:46
123,31,Male,Suburban,Automotive,215942.38,414.89,674.49,0.25,2,4124.59,Theft,4,2011-03-02 16:29:42,2010-04-07 15:52:14
124,66,Male,Suburban,Life,482699.44,965.83,348.34,0.59,1,1252.7,Accident,8,2016-03-26 16:27:31,2012-02-06 03:13:23
125,57,Non-Binary,Rural,Automotive,104692.2,1927.57,991.11,0.2,1,13304.97,Accident,5,2018-10-04 11:10:57,2021-08-02 00:01:02
126,39,Female,Urban,Home,94623.55,1112.3,364.69,0.2,1,7963.9,Other,4,2010-03-01 06:27:46,2017-06-22 06:39:57
127,27,Non-Binary,Urban,Life,63933.1,1958.2,421.69,0.15,0,0,Natural Disaster,3,2016-01-01 07:59:01,2022-03-10 17:17:16
128,18,Non-Binary,Suburban,Home,330118.19,1908.06,447.26,0.28,1,13195.6,Natural Disaster,1,2011-08-28 10:43:16,2012-05-20 15:48:34
129,28,Male,Suburban,Automotive,191835.79,763.53,954.95,0.3,3,11310.64,Other,8,2017-07-06 16:06:58,2017-02-16 19:17:08
130,68,Male,Suburban,Home,456226.87,1684.45,649.62,0.37,0,0,Accident,8,2010-06-23 03:27:50,2013-11-25 11:09:50
131,61,Male,Suburban,Life,487019.64,889.09,154.44,0.46,1,3235,Other,4,2020-06-06 11:26:18,2019-03-27 04:18:10
132,41,Male,Urban,Automotive,169095.23,1397.38,440.78,0.25,2,26133.78,Accident,8,2014-12-30 06:23:37,2021-12-05 01:17:52
133,20,Non-Binary,Urban,Life,439903.89,854.05,232.02,0.08,0,0,Theft,7,2016-02-07 23:52:17,2016-04-29 06:38:18
134,52,Female,Suburban,Automotive,214105.82,634.35,224.78,0.14,3,25914.5,Other,3,2015-01-24 00:28:07,2011-02-14 06:51:08
135,53,Female,Urban,Home,164123.32,1284.41,635.31,0.04,1,7949.74,Accident,6,2010-01-19 18:31:03,2021-09-22 13:07:41
136,48,Female,Suburban,Home,318599.51,1746.19,416.81,0.36,1,4288.23,Theft,6,2015-08-07 05:03:26,2017-09-16 12:05:18
137,21,Female,Urban,Life,460701.78,1926.97,586.51,0.51,2,3964.52,Other,6,2015-10-27 09:37:50,2019-08-10 16:33:02
138,36,Male,Rural,Life,110799.54,746.29,658.59,0.63,3,19765.2,Natural Disaster,7,2017-08-25 16:00:24,2016-02-29 03:16:56
139,64,Non-Binary,Rural,Automotive,162833.82,1455.22,539.04,0.35,1,7875.71,Natural Disaster,2,2017-11-07 16:49:37,2018-08-14 11:15:14
140,53,Male,Urban,Life,66670.06,1703.13,293.85,0.07,0,0,Natural Disaster,5,2017-06-05 00:36:44,2020-01-14 22:39:07
141,38,Male,Suburban,Life,186002.63,659.84,183.2,0.26,0,0,Accident,8,2012-02-10 01:51:04,2012-01-20 04:44:10
142,35,Non-Binary,Urban,Home,370493.74,1170.46,370.34,0.27,0,0,Other,3,2020-07-04 21:19:47,2020-10-31 04:57:36
143,68,Non-Binary,Suburban,Life,96230.43,1839.38,584.66,0.3,2,8345.26,Theft,7,2020-11-19 23:46:03,2021-08-23 13:54:38
144,45,Non-Binary,Suburban,Life,184624.92,1770.31,351.42,0.51,1,616.82,Other,5,2018-03-22 22:21:20,2010-02-15 08:06:40
145,32,Male,Suburban,Automotive,298834.4,319.19,452.6,0.41,0,0,Accident,8,2015-05-28 13:30:22,2015-04-22 15:24:37
146,59,Female,Suburban,Home,406007.87,1361.08,915.13,0.09,0,0,Other,8,2019-10-03 17:53:12,2011-06-03 14:28:37
147,19,Male,Urban,Home,495142.37,1380.17,123.7,0.63,1,2806.31,Accident,3,2018-06-12 01:51:05,2017-12-19 07:03:36
148,54,Male,Urban,Automotive,241777.96,1984.85,174.45,0.43,0,0,Natural Disaster,10,2019-08-18 17:21:30,2017-09-28 17:15:36
149,28,Non-Binary,Rural,Home,284801.93,1470.47,838.06,0.11,1,13493.17,Natural Disaster,8,2012-09-10 12:15:02,2013-12-01 11:52:08
150,40,Male,Suburban,Automotive,442814.69,1217.58,267.49,0.29,0,0,Theft,9,2019-02-12 04:47:47,2017-06-27 01:23:06
151,61,Female,Rural,Automotive,260860.71,609.59,848.99,0.16,2,24151.5,Other,2,2019-01-09 14:38:46,2012-02-07 20:44:31
152,58,Female,Urban,Life,146237.31,748.87,662.37,0.32,0,0,Accident,4,2022-09-09 21:08:39,2013-09-18 15:26:43
153,29,Male,Urban,Life,450261.63,1693.74,198.47,0.16,3,7395.66,Theft,9,2019-10-08 22:54:34,2015-07-16 19:38:57
154,20,Non-Binary,Suburban,Automotive,378211.88,418.28,400.85,0.19,1,11664.43,Theft,1,2013-07-07 11:53:03,2016-11-01 18:26:55
155,69,Male,Urban,Life,219624.1,324.09,965.43,0.36,0,0,Natural Disaster,2,2013-02-20 08:21:48,2014-09-06 11:44:56
156,34,Female,Suburban,Life,269431.28,1339.31,258.97,0.05,4,48633.2,Other,1,2016-12-09 21:40:31,2012-11-06 20:36:51
157,50,Female,Rural,Home,140827.16,1449.43,472.09,0.34,2,6615.48,Theft,5,2020-07-27 11:02:28,2021-08-17 22:32:44
158,18,Male,Suburban,Home,70450.54,1703.76,376.58,0.14,2,4021.72,Other,10,2011-06-16 08:27:11,2019-03-16 09:10:40
159,56,Female,Urban,Life,195480.74,1201.38,558.83,0.56,0,0,Other,6,2022-12-29 12:19:33,2020-05-09 11:27:16
160,37,Male,Urban,Automotive,335337.87,1732.03,490.95,0.26,1,6754.35,Theft,7,2010-01-09 02:34:53,2017-11-15 01:22:22
161,64,Female,Urban,Automotive,177224.11,1702.86,938.67,0.4,1,14879.2,Other,4,2020-01-30 19:47:10,2021-10-04 21:56:47
162,60,Non-Binary,Rural,Life,493369.23,962.37,843.51,0.49,1,8859.12,Natural Disaster,5,2011-05-20 14:48:28,2022-01-26 19:59:34
163,69,Female,Suburban,Life,95593.18,454.38,622.34,0.15,1,285.45,Natural Disaster,2,2016-10-13 22:06:24,2010-12-22 14:08:34
164,58,Male,Rural,Automotive,340270.88,1597.02,400.46,0.04,0,0,Theft,8,2017-01-22 15:29:08,2011-11-28 04:39:18
165,31,Male,Urban,Home,295789.54,1940.74,776.02,0.25,0,0,Theft,1,2016-06-15 06:41:30,2021-09-26 04:36:52
166,48,Non-Binary,Suburban,Home,51440.63,1793.21,630.63,0.06,1,14301.74,Other,9,2011-02-16 12:46:45,2022-01-16 08:24:53
167,42,Female,Rural,Automotive,428173.1,1376.61,246.23,0.04,0,0,Other,10,2016-03-06 13:34:49,2018-07-15 13:23:30
168,20,Male,Suburban,Life,233360.82,463.34,380.84,0.17,3,44112.77,Natural Disaster,8,2017-04-09 22:47:17,2019-04-18 13:37:54
169,21,Female,Urban,Home,281405.38,1306.73,611.49,0.51,1,14400.53,Theft,6,2016-11-30 17:46:59,2021-05-17 04:01:37
170,48,Non-Binary,Rural,Automotive,376415.8,326.69,729.97,0.21,0,0,Accident,9,2022-08-17 03:53:38,2011-10-03 19:23:26
171,52,Male,Suburban,Life,375518.13,1306.36,388.45,0.19,1,9272.6,Accident,3,2018-08-10 21:00:32,2018-10-07 18:49:36
172,61,Non-Binary,Suburban,Life,408767.57,1717.3,919.2,0.06,2,20726.23,Theft,5,2022-11-26 14:57:25,2016-03-15 16:53:35
173,31,Male,Urban,Home,101453.45,1560.47,467.38,0.67,2,18920.28,Theft,2,2013-08-23 06:28:42,2012-11-05 09:10:23
174,66,Female,Urban,Life,484422.56,1346.69,234.25,0.12,2,12324.49,Accident,6,2021-10-12 18:20:14,2018-02-07 12:41:25
175,58,Male,Urban,Automotive,441583.96,504.93,291.11,0.39,0,0,Natural Disaster,2,2020-11-20 04:31:11,2011-09-04 05:55:41
176,26,Non-Binary,Rural,Automotive,448309.38,593.77,278.91,0.33,1,3338.43,Other,4,2021-10-09 11:07:55,2017-07-30 12:51:36
177,37,Male,Rural,Automotive,343011.13,1736.69,310.42,0.1,0,0,Natural Disaster,3,2014-09-02 00:21:58,2014-08-10 02:43:06
178,49,Non-Binary,Suburban,Automotive,180217.74,1305.52,445.31,0.55,0,0,Natural Disaster,8,2011-11-02 18:32:21,2012-03-08 22:24:16
179,26,Male,Suburban,Life,366824.37,1187.22,518.45,0.22,2,7667.27,Accident,3,2020-03-02 02:16:10,2021-03-12 20:02:58
180,44,Non-Binary,Rural,Automotive,397958.47,653.81,588.05,0.43,0,0,Other,6,2013-04-26 09:48:42,2022-08-11 11:07:44
181,20,Female,Suburban,Home,153160.78,1021.49,944.22,0.29,0,0,Theft,9,2017-08-27 19:40:08,2011-12-23 04:52:03
182,21,Male,Rural,Life,434881.11,1287.5,612.96,0.27,5,35437.69,Other,6,2015-09-11 21:23:37,2010-12-08 20:11:22
183,62,Female,Suburban,Life,270778.33,1367.76,261.68,0.43,0,0,Other,5,2021-03-05 23:43:50,2016-05-30 06:32:56
184,32,Male,Rural,Life,154770.93,1495.86,509.82,0.23,0,0,Other,3,2017-09-27 16:25:13,2018-10-26 20:57:58
185,50,Male,Suburban,Automotive,484886.39,1572.03,251.93,0.09,0,0,Other,3,2021-10-01 07:54:10,2017-06-12 20:51:37
186,22,Female,Suburban,Life,465166.5,1355.46,919.98,0.24,1,9439.49,Other,7,2017-07-02 18:23:19,2014-09-29 14:37:29
187,21,Non-Binary,Rural,Automotive,372441.84,564.49,251.54,0.13,0,0,Natural Disaster,5,2012-03-02 14:04:15,2011-12-15 06:47:07
188,63,Female,Urban,Automotive,293187.08,1221.95,649.5,0.36,2,18913.37,Other,5,2014-02-24 19:00:24,2019-02-20 13:28:33
189,29,Female,Rural,Life,215193.06,427.18,620.17,0.15,0,0,Natural Disaster,3,2022-02-20 22:06:03,2010-11-28 02:48:19
190,40,Male,Rural,Life,447022.14,1304.36,660.84,0.44,1,13003.31,Other,4,2019-07-31 13:21:49,2016-02-08 12:44:00
